Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.446,1.201
0.00000,0.00006,91.99651,0.03015,0.47859
0.00180,0.00006,91.96270,0.03016,0.47859
0.10000,0.00221,93.87508,0.03029,0.47860
0.20000,0.00666,102.43738,0.03027,0.47858
0.30000,0.01186,115.17573,0.03034,0.47858
0.40000,0.01727,124.01147,0.03034,0.47862
0.50000,0.02265,137.41776,0.03042,0.47868
0.60000,0.02798,148.95191,0.03043,0.47872
0.70000,0.03326,161.19350,0.03049,0.47878
0.80000,0.03846,172.92621,0.03046,0.47882
0.90000,0.04361,183.71167,0.03059,0.47887
1.00000,0.04872,195.55548,0.03060,0.47892
1.10000,0.05377,207.34621,0.03070,0.47894
1.20000,0.05881,218.42821,0.03077,0.47898
1.30000,0.06383,228.89450,0.03072,0.47902
1.40000,0.06885,241.36566,0.03082,0.47905
1.50000,0.07386,253.03746,0.03090,0.47909
1.60000,0.07891,265.59820,0.03098,0.47914
1.70000,0.08393,279.08301,0.03106,0.47919
1.80000,0.08892,292.21671,0.03117,0.47922
1.90000,0.09392,305.90473,0.03123,0.47925
2.00000,0.09889,320.13133,0.03137,0.47928
2.09780,0.10379,334.48003,0.03144,0.47930
2.10000,0.10389,334.72944,0.03143,0.47930
2.20000,0.10889,347.09079,0.03147,0.47930
2.30000,0.11389,360.13685,0.03160,0.47932
2.40000,0.11889,373.56708,0.03161,0.47935
2.50000,0.12388,388.01031,0.03180,0.47937
2.60000,0.12889,401.78727,0.03187,0.47939
2.70000,0.13390,414.20823,0.03198,0.47940
2.80000,0.13889,427.62049,0.03199,0.47943
2.90000,0.14390,440.64913,0.03219,0.47944
3.00000,0.14892,454.67550,0.03229,0.47945
3.10000,0.15393,467.90792,0.03234,0.47947
3.20000,0.15891,481.83966,0.03247,0.47950
3.29180,0.16349,495.55851,0.03258,0.47951
3.30000,0.16389,496.83452,0.03261,0.47951
3.40000,0.16364,486.49348,0.03251,0.47950
3.50000,0.15964,472.69380,0.03234,0.47950
3.60000,0.15427,429.24378,0.03202,0.47947
3.70000,0.14849,380.69952,0.03167,0.47942
3.80000,0.14268,333.74317,0.03139,0.47937
3.90000,0.13699,289.40775,0.03105,0.47932
4.00000,0.13147,252.75610,0.03073,0.47929
4.10000,0.12608,219.11869,0.03048,0.47926
4.20000,0.12080,190.50743,0.03030,0.47924
4.30000,0.11557,166.52672,0.03006,0.47921
4.40000,0.11042,141.82497,0.02994,0.47919
4.50000,0.10532,123.38059,0.02992,0.47917
4.60000,0.10027,113.39393,0.02983,0.47911
4.70000,0.09523,104.24899,0.02984,0.47907
4.77880,0.09126,97.15836,0.02995,0.47901
4.80000,0.09020,95.13404,0.02997,0.47897
4.90000,0.08519,90.09866,0.03000,0.47890
5.00000,0.08018,84.01535,0.03010,0.47883
5.10000,0.07519,74.60034,0.03011,0.47880
5.20000,0.07018,59.19216,0.02997,0.47879
5.21780,0.06928,56.49272,0.02996,0.47878
5.30000,0.06846,55.88597,0.02996,0.47879
5.40000,0.07189,60.86379,0.03003,0.47878
5.50000,0.07705,82.62899,0.03010,0.47879
5.60000,0.08281,99.49999,0.03019,0.47880
5.70000,0.08862,107.23798,0.03022,0.47880
5.80000,0.09434,119.45516,0.03017,0.47885
5.90000,0.09988,134.61560,0.03021,0.47891
6.00000,0.10530,151.09302,0.03035,0.47896
6.10000,0.11060,169.30709,0.03036,0.47904
6.20000,0.11582,188.21144,0.03045,0.47908
6.30000,0.12096,211.39914,0.03062,0.47913
6.40000,0.12606,235.36142,0.03073,0.47918
6.50000,0.13113,262.03254,0.03088,0.47924
6.60000,0.13618,293.49336,0.03115,0.47928
6.70000,0.14121,327.35141,0.03134,0.47935
6.71680,0.14207,332.77217,0.03139,0.47935
6.80000,0.14625,362.90307,0.03164,0.47938
6.90000,0.15129,391.81123,0.03182,0.47941
7.00000,0.15629,419.30173,0.03204,0.47945
7.10000,0.16127,442.77366,0.03218,0.47947
7.20000,0.16626,465.95735,0.03234,0.47951
7.30000,0.17128,488.40921,0.03251,0.47953
7.40000,0.17631,509.66181,0.03267,0.47955
7.50000,0.18132,530.54830,0.03282,0.47959
7.60000,0.18631,548.12524,0.03296,0.47961
7.70000,0.19131,567.04199,0.03322,0.47962
7.77880,0.19524,581.15181,0.03319,0.47965
7.80000,0.19628,585.67915,0.03324,0.47965
7.90000,0.20127,602.47127,0.03338,0.47968
8.00000,0.20626,621.32478,0.03359,0.47970
8.10000,0.21128,638.42060,0.03366,0.47972
8.20000,0.21629,656.09524,0.03384,0.47975
8.30000,0.22129,673.28438,0.03399,0.47975
8.40000,0.22628,690.94999,0.03408,0.47977
8.50000,0.23126,707.68548,0.03426,0.47980
8.60000,0.23628,724.50927,0.03437,0.47983
