Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.431, 1.204
0.00000,0.00011,100.38996,0.06601,0.46185
0.00180,0.00011,100.45348,0.06601,0.46185
0.10000,0.00226,105.35056,0.06606,0.46185
0.20000,0.00671,119.35895,0.06618,0.46186
0.30000,0.01191,132.36217,0.06620,0.46187
0.40000,0.01733,144.07486,0.06623,0.46185
0.50000,0.02271,153.09481,0.06629,0.46185
0.60000,0.02803,170.57704,0.06637,0.46189
0.70000,0.03331,184.63600,0.06642,0.46191
0.80000,0.03852,196.71777,0.06645,0.46194
0.90000,0.04368,208.57742,0.06646,0.46196
1.00000,0.04877,220.00251,0.06651,0.46197
1.10000,0.05383,231.14337,0.06656,0.46198
1.20000,0.05886,242.05605,0.06668,0.46199
1.30000,0.06389,255.96227,0.06674,0.46200
1.40000,0.06891,266.21036,0.06677,0.46201
1.50000,0.07393,280.61448,0.06688,0.46202
1.60000,0.07896,292.17638,0.06691,0.46203
1.70000,0.08399,304.32222,0.06703,0.46203
1.80000,0.08899,316.88195,0.06715,0.46206
1.90000,0.09397,330.13029,0.06717,0.46207
2.00000,0.09894,342.43064,0.06730,0.46209
2.02680,0.10029,345.88650,0.06725,0.46209
2.10000,0.10394,356.78670,0.06734,0.46211
2.20000,0.10895,372.02900,0.06745,0.46210
2.30000,0.11396,384.88628,0.06757,0.46213
2.40000,0.11895,399.27177,0.06759,0.46214
2.50000,0.12393,413.62755,0.06775,0.46217
2.60000,0.12895,427.40796,0.06780,0.46219
2.70000,0.13396,442.61385,0.06795,0.46221
2.80000,0.13896,457.32241,0.06808,0.46222
2.90000,0.14397,472.76337,0.06813,0.46225
3.00000,0.14898,486.30955,0.06823,0.46224
3.04580,0.15129,493.47337,0.06835,0.46227
3.10000,0.15254,494.28903,0.06827,0.46226
3.20000,0.14990,479.76347,0.06820,0.46224
3.30000,0.14510,453.53631,0.06804,0.46222
3.40000,0.13945,404.92620,0.06762,0.46215
3.50000,0.13363,357.26940,0.06734,0.46210
3.60000,0.12785,308.64161,0.06694,0.46204
3.70000,0.12224,267.42062,0.06663,0.46198
3.80000,0.11674,230.63291,0.06640,0.46194
3.90000,0.11139,198.94037,0.06619,0.46191
4.00000,0.10616,172.33193,0.06597,0.46187
4.10000,0.10100,148.67177,0.06581,0.46183
4.20000,0.09588,133.74425,0.06580,0.46186
4.30000,0.09080,121.57736,0.06576,0.46185
4.40000,0.08577,109.30151,0.06583,0.46186
4.43280,0.08412,106.41273,0.06584,0.46185
4.50000,0.08075,101.55914,0.06583,0.46185
4.60000,0.07573,98.59065,0.06593,0.46182
4.70000,0.07071,92.61277,0.06593,0.46179
4.80000,0.06569,85.65923,0.06594,0.46182
4.90000,0.06069,73.86208,0.06594,0.46180
5.00000,0.05568,59.68576,0.06578,0.46178
5.01080,0.05513,57.94596,0.06578,0.46178
5.10000,0.05445,56.81375,0.06574,0.46177
5.20000,0.05805,60.86119,0.06586,0.46178
5.30000,0.06325,87.20523,0.06605,0.46179
5.40000,0.06900,103.24782,0.06611,0.46177
5.50000,0.07483,119.73400,0.06624,0.46177
5.60000,0.08057,129.10161,0.06617,0.46178
5.70000,0.08614,137.10419,0.06618,0.46174
5.80000,0.09154,151.44702,0.06621,0.46175
5.90000,0.09682,166.45761,0.06632,0.46180
6.00000,0.10201,186.10368,0.06642,0.46185
6.10000,0.10716,206.10066,0.06646,0.46185
6.20000,0.11228,225.96139,0.06658,0.46187
6.30000,0.11733,248.67170,0.06673,0.46188
6.40000,0.12236,275.20899,0.06686,0.46191
6.50000,0.12739,305.53928,0.06703,0.46194
6.59380,0.13212,339.16235,0.06730,0.46197
6.60000,0.13242,341.29154,0.06730,0.46197
6.70000,0.13744,376.77363,0.06751,0.46203
6.80000,0.14245,409.01154,0.06775,0.46206
6.90000,0.14747,436.71755,0.06796,0.46211
7.00000,0.15249,462.07989,0.06817,0.46213
7.10000,0.15749,482.61890,0.06829,0.46217
7.20000,0.16247,505.20115,0.06847,0.46221
7.30000,0.16747,525.50975,0.06867,0.46222
7.40000,0.17248,544.91004,0.06875,0.46225
7.50000,0.17749,564.62567,0.06884,0.46227
7.60000,0.18251,582.53529,0.06898,0.46231
7.65980,0.18551,593.02067,0.06910,0.46231
7.70000,0.18750,600.99689,0.06913,0.46230
7.80000,0.19250,618.51079,0.06922,0.46235
7.90000,0.19747,636.38883,0.06938,0.46238
8.00000,0.20246,653.04032,0.06961,0.46237
8.10000,0.20745,671.22867,0.06970,0.46241
8.20000,0.21246,688.35253,0.06984,0.46244
8.30000,0.21747,705.56030,0.06997,0.46245
8.40000,0.22247,723.93687,0.07009,0.46246
8.50000,0.22747,739.75781,0.07019,0.46249
8.60000,0.23246,757.02257,0.07034,0.46251
8.70000,0.23748,774.67775,0.07049,0.46254
8.80000,0.24246,791.69469,0.07055,0.46256
8.90000,0.24747,811.73563,0.07083,0.46259
9.00000,0.25248,828.37474,0.07090,0.46261
9.10000,0.25749,845.61836,0.07104,0.46262
9.10380,0.25768,846.29189,0.07105,0.46262
9.20000,0.26248,865.12556,0.07121,0.46266
9.30000,0.26747,882.10953,0.07129,0.46268
9.40000,0.27248,901.25510,0.07144,0.46270
9.50000,0.27751,918.39274,0.07162,0.46271
9.60000,0.28252,936.93286,0.07166,0.46273
9.70000,0.28751,955.76979,0.07185,0.46277
9.80000,0.29247,971.58076,0.07195,0.46279
9.90000,0.29747,991.21463,0.07218,0.46281
10.00000,0.30248,1009.38128,0.07233,0.46283
10.10000,0.30748,1028.07088,0.07246,0.46288
10.20000,0.31247,1046.63232,0.07253,0.46288
10.30000,0.31748,1065.14459,0.07268,0.46292
10.40000,0.32247,1084.21640,0.07289,0.46293
10.46380,0.32568,1095.51782,0.07299,0.46294
10.50000,0.32748,1102.80383,0.07308,0.46297
10.60000,0.33248,1123.18723,0.07316,0.46298
10.70000,0.33747,1142.59459,0.07330,0.46301
10.80000,0.34246,1161.75646,0.07343,0.46304
10.90000,0.34747,1180.72033,0.07360,0.46304
11.00000,0.35249,1199.65291,0.07365,0.46307
11.10000,0.35748,1218.41813,0.07390,0.46310
11.20000,0.36246,1239.08659,0.07406,0.46314
11.30000,0.36747,1259.56852,0.07424,0.46315
11.40000,0.37248,1277.31916,0.07435,0.46319
11.50000,0.37748,1296.84508,0.07451,0.46320
11.60000,0.38246,1315.62026,0.07464,0.46324
