Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.412,1.202
0.00000,0.00006,115.38947,-0.25567,0.52473
0.00180,0.00006,115.38900,-0.25567,0.52473
0.10000,0.00221,120.21437,-0.25544,0.52475
0.20000,0.00665,132.81545,-0.25549,0.52476
0.30000,0.01185,146.67306,-0.25533,0.52473
0.40000,0.01727,161.44868,-0.25523,0.52471
0.50000,0.02266,173.38218,-0.25512,0.52469
0.60000,0.02798,185.32388,-0.25495,0.52468
0.70000,0.03325,199.18522,-0.25484,0.52470
0.80000,0.03846,214.41439,-0.25475,0.52471
0.90000,0.04361,224.95938,-0.25461,0.52471
1.00000,0.04871,235.52403,-0.25443,0.52473
1.10000,0.05377,243.54747,-0.25442,0.52472
1.20000,0.05881,254.23793,-0.25425,0.52472
1.30000,0.06383,267.10499,-0.25407,0.52474
1.40000,0.06886,279.82537,-0.25404,0.52476
1.50000,0.07386,293.91460,-0.25395,0.52477
1.60000,0.07889,305.29276,-0.25392,0.52478
1.70000,0.08392,317.51841,-0.25380,0.52481
1.80000,0.08892,330.83968,-0.25371,0.52482
1.90000,0.09392,340.82569,-0.25369,0.52485
2.00000,0.09889,356.23293,-0.25352,0.52487
2.04280,0.10104,360.28363,-0.25345,0.52487
2.10000,0.10388,367.38347,-0.25342,0.52488
2.20000,0.10888,380.71284,-0.25334,0.52490
2.30000,0.11389,393.43229,-0.25329,0.52491
2.40000,0.11888,407.29381,-0.25319,0.52494
2.50000,0.12387,420.80944,-0.25305,0.52496
2.60000,0.12888,435.12173,-0.25301,0.52497
2.70000,0.13391,448.64099,-0.25284,0.52498
2.80000,0.13891,463.17466,-0.25276,0.52500
2.90000,0.14391,476.36377,-0.25268,0.52502
3.00000,0.14892,492.52082,-0.25249,0.52503
3.02280,0.15008,495.63469,-0.25251,0.52504
3.10000,0.15105,490.36313,-0.25258,0.52503
3.20000,0.14779,476.32167,-0.25260,0.52502
3.30000,0.14272,445.34570,-0.25285,0.52497
3.40000,0.13699,394.75420,-0.25324,0.52492
3.50000,0.13116,346.01782,-0.25360,0.52483
3.60000,0.12540,299.10021,-0.25391,0.52478
3.70000,0.11978,256.82552,-0.25428,0.52474
3.80000,0.11432,223.09711,-0.25441,0.52469
3.90000,0.10900,196.32233,-0.25471,0.52465
4.00000,0.10378,177.55888,-0.25494,0.52466
4.10000,0.09862,159.43479,-0.25516,0.52464
4.20000,0.09352,142.87569,-0.25526,0.52465
4.30000,0.08846,131.54596,-0.25551,0.52467
4.38880,0.08398,122.00354,-0.25557,0.52469
4.40000,0.08343,120.29950,-0.25556,0.52469
4.50000,0.07839,107.79854,-0.25572,0.52468
4.60000,0.07337,92.34110,-0.25584,0.52469
4.70000,0.06835,75.95252,-0.25595,0.52466
4.80000,0.06335,60.29960,-0.25611,0.52466
4.82980,0.06185,55.74171,-0.25615,0.52464
4.90000,0.06080,52.89940,-0.25613,0.52464
5.00000,0.06386,57.27606,-0.25617,0.52463
5.10000,0.06886,78.95632,-0.25598,0.52467
5.20000,0.07455,109.72274,-0.25575,0.52472
5.30000,0.08042,126.64590,-0.25570,0.52471
5.40000,0.08619,140.03431,-0.25553,0.52469
5.50000,0.09178,153.33844,-0.25540,0.52468
5.60000,0.09722,167.83448,-0.25526,0.52466
5.70000,0.10251,190.23474,-0.25502,0.52468
5.80000,0.10774,211.44245,-0.25479,0.52469
5.90000,0.11291,226.83665,-0.25466,0.52468
6.00000,0.11801,246.80020,-0.25435,0.52468
6.10000,0.12308,276.93454,-0.25412,0.52470
6.20000,0.12813,310.59664,-0.25383,0.52476
6.30000,0.13318,348.38840,-0.25359,0.52481
6.31880,0.13414,355.54850,-0.25357,0.52481
6.40000,0.13821,384.85257,-0.25338,0.52486
6.50000,0.14323,418.21580,-0.25305,0.52490
6.60000,0.14825,446.73132,-0.25291,0.52493
6.70000,0.15326,470.03096,-0.25267,0.52497
6.80000,0.15825,492.27234,-0.25253,0.52501
6.90000,0.16323,512.04124,-0.25233,0.52502
7.00000,0.16823,532.10994,-0.25226,0.52505
7.10000,0.17323,550.70408,-0.25218,0.52508
7.20000,0.17824,568.13955,-0.25195,0.52509
7.30000,0.18328,585.97689,-0.25184,0.52512
7.40000,0.18828,603.66392,-0.25175,0.52514
7.40080,0.18833,603.94378,-0.25175,0.52514
7.50000,0.19326,619.09035,-0.25152,0.52515
7.60000,0.19823,636.19530,-0.25146,0.52518
7.70000,0.20323,653.48446,-0.25134,0.52521
7.80000,0.20824,670.88204,-0.25126,0.52521
7.90000,0.21325,686.57883,-0.25108,0.52522
8.00000,0.21825,703.76284,-0.25096,0.52526
8.10000,0.22325,721.78245,-0.25081,0.52529
8.20000,0.22825,736.65529,-0.25060,0.52530
8.30000,0.23325,754.92384,-0.25050,0.52532
8.40000,0.23826,770.22016,-0.25043,0.52534
8.50000,0.24326,787.79841,-0.25029,0.52536
8.60000,0.24825,805.41018,-0.25015,0.52539
8.70000,0.25326,821.65441,-0.24996,0.52540
8.80000,0.25826,840.18428,-0.24990,0.52542
8.89480,0.26301,858.13077,-0.24970,0.52545
8.90000,0.26325,859.08826,-0.24970,0.52545
9.00000,0.26824,875.53561,-0.24961,0.52546
9.10000,0.27324,895.14470,-0.24946,0.52550
9.20000,0.27827,913.24467,-0.24927,0.52551
9.30000,0.28330,930.88429,-0.24914,0.52553
9.40000,0.28828,948.11060,-0.24905,0.52556
9.50000,0.29326,964.28022,-0.24893,0.52556
9.60000,0.29824,982.88264,-0.24872,0.52559
9.70000,0.30325,1000.14172,-0.24861,0.52561
9.80000,0.30825,1018.38969,-0.24852,0.52563
9.90000,0.31325,1036.99267,-0.24832,0.52565
10.00000,0.31825,1055.13353,-0.24812,0.52568
10.10000,0.32325,1073.14028,-0.24797,0.52570
10.20000,0.32826,1093.05214,-0.24797,0.52571
10.28980,0.33276,1110.97991,-0.24773,0.52574
10.30000,0.33326,1112.67520,-0.24769,0.52574
10.40000,0.33824,1131.37206,-0.24757,0.52577
10.50000,0.34322,1151.50297,-0.24735,0.52579
10.60000,0.34824,1170.29892,-0.24731,0.52583
10.70000,0.35325,1189.21325,-0.24709,0.52583
10.80000,0.35826,1209.37200,-0.24703,0.52584
10.90000,0.36324,1227.94574,-0.24673,0.52587
11.00000,0.36825,1247.42920,-0.24663,0.52591
11.10000,0.37326,1266.65011,-0.24641,0.52592
11.20000,0.37826,1284.25444,-0.24631,0.52595
11.30000,0.38324,1305.09259,-0.24613,0.52596
11.40000,0.38821,1323.96892,-0.24604,0.52598
11.50000,0.39321,1344.89024,-0.24580,0.52601
11.56380,0.39643,1357.54021,-0.24577,0.52601
11.60000,0.39824,1364.36680,-0.24569,0.52603
11.70000,0.40324,1385.44636,-0.24548,0.52606
11.80000,0.40824,1406.86985,-0.24537,0.52607
11.90000,0.41326,1426.71419,-0.24525,0.52611
12.00000,0.41828,1446.25213,-0.24500,0.52613
12.10000,0.42327,1465.46690,-0.24495,0.52615
12.20000,0.42826,1486.03925,-0.24477,0.52618
12.30000,0.43324,1506.05841,-0.24457,0.52620
12.40000,0.43825,1526.00547,-0.24443,0.52623
12.50000,0.44324,1546.38262,-0.24426,0.52626
12.60000,0.44825,1565.40424,-0.24405,0.52626
12.70000,0.45326,1587.66899,-0.24392,0.52629
12.80000,0.45825,1607.45457,-0.24377,0.52630
12.80980,0.45875,1609.49882,-0.24375,0.52630
12.90000,0.46325,1630.49661,-0.24364,0.52634
13.00000,0.46827,1649.02564,-0.24343,0.52635
13.10000,0.47327,1670.20205,-0.24325,0.52638
13.20000,0.47827,1692.17661,-0.24302,0.52638
13.30000,0.48326,1711.32665,-0.24291,0.52642
13.40000,0.48825,1731.80252,-0.24276,0.52644
13.50000,0.49324,1753.12683,-0.24252,0.52647
13.60000,0.49824,1773.25308,-0.24238,0.52649
13.70000,0.50324,1792.92839,-0.24225,0.52650
13.80000,0.50825,1813.22843,-0.24211,0.52653
13.90000,0.51327,1834.81593,-0.24198,0.52654
14.00000,0.51828,1857.08310,-0.24173,0.52659
14.01280,0.51893,1859.61947,-0.24170,0.52658
14.10000,0.52328,1877.34645,-0.24148,0.52660
14.20000,0.52828,1899.26196,-0.24141,0.52660
14.30000,0.53325,1918.95943,-0.24124,0.52662
14.40000,0.53823,1941.40095,-0.24113,0.52665
14.50000,0.54323,1962.37061,-0.24086,0.52667
14.60000,0.54824,1982.41044,-0.24073,0.52669
14.70000,0.55325,2003.80720,-0.24058,0.52672
14.80000,0.55825,2025.75475,-0.24039,0.52673
14.90000,0.56325,2047.25973,-0.24017,0.52675
15.00000,0.56827,2069.05939,-0.24000,0.52678
15.10000,0.57327,2090.99259,-0.23981,0.52681
