Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.422,1.197
0.00000,0.00006,97.23203,-0.39741,0.55894
0.00180,0.00006,97.17410,-0.39741,0.55894
0.10000,0.00224,100.20426,-0.39727,0.55895
0.20000,0.00670,115.54323,-0.39712,0.55894
0.30000,0.01187,127.93234,-0.39696,0.55892
0.40000,0.01726,147.64145,-0.39683,0.55892
0.50000,0.02267,167.02274,-0.39665,0.55894
0.60000,0.02801,179.13673,-0.39666,0.55895
0.70000,0.03330,191.91410,-0.39651,0.55898
0.80000,0.03849,201.78100,-0.39650,0.55902
0.90000,0.04360,212.26257,-0.39648,0.55904
1.00000,0.04868,222.35829,-0.39638,0.55905
1.10000,0.05374,233.04559,-0.39630,0.55907
1.20000,0.05879,243.78421,-0.39629,0.55909
1.30000,0.06384,254.41013,-0.39627,0.55909
1.40000,0.06889,266.26028,-0.39612,0.55913
1.50000,0.07386,277.21198,-0.39606,0.55915
1.60000,0.07881,288.80285,-0.39596,0.55916
1.70000,0.08378,301.37496,-0.39591,0.55918
1.80000,0.08882,313.17435,-0.39579,0.55919
1.90000,0.09387,326.78889,-0.39574,0.55921
2.00000,0.09891,341.63389,-0.39564,0.55922
2.00180,0.09901,341.92661,-0.39563,0.55922
2.10000,0.10391,354.10291,-0.39557,0.55925
2.20000,0.10890,367.19469,-0.39548,0.55926
2.30000,0.11390,381.15308,-0.39539,0.55929
2.40000,0.11887,394.06968,-0.39517,0.55930
2.50000,0.12387,406.98955,-0.39513,0.55932
2.60000,0.12889,420.70048,-0.39503,0.55933
2.70000,0.13391,433.65937,-0.39500,0.55935
2.80000,0.13890,446.52987,-0.39484,0.55935
2.90000,0.14386,459.52154,-0.39476,0.55937
3.00000,0.14885,473.49334,-0.39456,0.55938
3.10000,0.15387,486.96706,-0.39451,0.55941
3.15580,0.15668,494.33867,-0.39446,0.55942
3.20000,0.15798,495.86548,-0.39443,0.55941
3.30000,0.15570,478.87536,-0.39457,0.55940
3.40000,0.15107,462.83379,-0.39464,0.55939
3.50000,0.14548,413.26098,-0.39509,0.55932
3.60000,0.13963,364.24454,-0.39552,0.55926
3.70000,0.13386,318.41984,-0.39579,0.55923
3.80000,0.12821,275.60620,-0.39616,0.55918
3.90000,0.12272,237.05801,-0.39651,0.55914
4.00000,0.11737,204.21613,-0.39678,0.55909
4.10000,0.11213,171.52363,-0.39703,0.55907
4.20000,0.10696,144.38787,-0.39721,0.55903
4.30000,0.10184,127.57238,-0.39725,0.55898
4.40000,0.09676,111.96323,-0.39727,0.55895
4.46380,0.09355,104.37910,-0.39742,0.55897
4.50000,0.09175,98.31153,-0.39744,0.55897
4.60000,0.08674,81.43540,-0.39749,0.55898
4.70000,0.08169,68.48322,-0.39759,0.55898
4.79080,0.07707,54.42929,-0.39775,0.55896
4.80000,0.07662,53.21708,-0.39775,0.55896
4.90000,0.07686,57.34796,-0.39769,0.55898
5.00000,0.08083,61.43842,-0.39771,0.55898
5.10000,0.08621,92.10482,-0.39744,0.55898
5.20000,0.09205,111.00024,-0.39714,0.55895
5.30000,0.09791,142.04942,-0.39702,0.55896
5.40000,0.10359,167.50870,-0.39681,0.55900
5.50000,0.10911,190.80658,-0.39660,0.55904
5.60000,0.11450,214.78431,-0.39656,0.55908
5.70000,0.11974,241.84762,-0.39621,0.55910
5.80000,0.12494,270.59233,-0.39612,0.55915
5.90000,0.13010,301.91820,-0.39588,0.55918
6.00000,0.13521,335.57778,-0.39567,0.55920
6.01580,0.13602,341.13228,-0.39562,0.55922
6.10000,0.14025,368.67931,-0.39544,0.55926
6.20000,0.14525,398.14748,-0.39517,0.55929
6.30000,0.15029,425.24636,-0.39491,0.55932
6.40000,0.15533,449.29944,-0.39481,0.55935
6.50000,0.16035,473.17287,-0.39458,0.55939
6.60000,0.16537,495.19911,-0.39435,0.55941
6.70000,0.17038,515.94330,-0.39430,0.55942
6.80000,0.17539,535.29022,-0.39412,0.55943
6.90000,0.18039,552.28788,-0.39395,0.55947
7.00000,0.18537,569.58171,-0.39391,0.55949
7.10000,0.19037,587.57020,-0.39362,0.55949
7.12580,0.19166,591.97685,-0.39362,0.55951
7.20000,0.19537,604.57457,-0.39348,0.55953
7.30000,0.20037,621.77107,-0.39338,0.55953
7.40000,0.20537,637.42651,-0.39324,0.55956
7.50000,0.21036,652.70839,-0.39310,0.55957
7.60000,0.21535,670.31737,-0.39295,0.55958
7.70000,0.22035,686.20658,-0.39286,0.55960
7.80000,0.22537,701.27901,-0.39272,0.55961
7.90000,0.23038,719.10936,-0.39250,0.55962
8.00000,0.23539,735.44336,-0.39238,0.55965
8.10000,0.24039,752.56201,-0.39237,0.55966
8.20000,0.24537,768.49312,-0.39217,0.55966
8.30000,0.25037,785.51071,-0.39204,0.55968
8.40000,0.25538,801.26096,-0.39191,0.55971
8.50000,0.26040,819.52615,-0.39177,0.55973
8.60000,0.26540,837.56279,-0.39158,0.55973
8.63480,0.26716,842.89154,-0.39157,0.55973
8.70000,0.27039,854.32893,-0.39152,0.55975
8.80000,0.27538,871.27713,-0.39137,0.55976
8.90000,0.28035,889.36333,-0.39121,0.55979
9.00000,0.28535,906.88542,-0.39107,0.55980
9.10000,0.29034,925.23405,-0.39095,0.55982
9.20000,0.29535,943.59331,-0.39077,0.55984
9.30000,0.30036,959.45466,-0.39075,0.55986
9.40000,0.30537,976.69950,-0.39051,0.55989
9.50000,0.31036,994.05618,-0.39041,0.55990
9.60000,0.31536,1012.44198,-0.39019,0.55990
