""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","4"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

0.00017,0.00000,0.00002,-0.006
0.00016,0.00000,0.00000,-0.014
0.00009,0.00000,-0.00003,-0.013
-0.00015,0.00000,0.00002,0.001
0.00007,0.00000,-0.00001,-0.005
-0.00017,0.00000,-0.00004,-0.017
-0.00020,0.00000,-0.00003,-0.005
0.00010,0.00000,0.00004,0.001
-0.00004,0.00000,0.00002,-0.011
0.00007,0.00000,0.00000,-0.006
0.00005,0.00000,0.00004,0.002
-0.00001,0.00000,0.00005,0.000
0.00010,0.00000,0.00006,0.009
0.00007,0.00000,0.00004,0.006
0.00033,0.00001,0.00003,0.023
0.00011,0.00000,0.00004,0.019
0.00041,0.00001,0.00008,0.010
0.00041,0.00001,0.00007,0.042
0.00052,0.00001,0.00006,0.044
0.00059,0.00001,0.00008,0.031
0.00058,0.00001,0.00015,0.047
0.00089,0.00002,0.00010,0.041
0.00114,0.00002,0.00011,0.062
0.00122,0.00002,0.00020,0.055
0.00138,0.00003,0.00015,0.088
0.00154,0.00003,0.00021,0.092
0.00147,0.00003,0.00021,0.100
0.00189,0.00004,0.00019,0.102
0.00222,0.00004,0.00026,0.121
0.00240,0.00005,0.00023,0.142
0.00253,0.00005,0.00030,0.152
0.00275,0.00005,0.00032,0.171
0.00279,0.00006,0.00035,0.180
0.00315,0.00006,0.00032,0.190
0.00345,0.00007,0.00037,0.206
0.00402,0.00008,0.00043,0.218
0.00430,0.00009,0.00044,0.246
0.00461,0.00009,0.00048,0.275
0.00501,0.00010,0.00052,0.278
0.00564,0.00011,0.00058,0.317
0.00594,0.00012,0.00064,0.342
0.00624,0.00012,0.00067,0.348
0.00699,0.00014,0.00075,0.380
0.00748,0.00015,0.00080,0.417
0.00792,0.00016,0.00085,0.443
0.00865,0.00017,0.00088,0.478
0.00932,0.00019,0.00090,0.508
0.01005,0.00020,0.00098,0.537
0.01043,0.00021,0.00102,0.571
0.01136,0.00023,0.00115,0.631
0.01216,0.00024,0.00119,0.663
0.01283,0.00026,0.00124,0.690
0.01369,0.00027,0.00136,0.730
0.01476,0.00030,0.00144,0.783
0.01558,0.00031,0.00149,0.830
0.01647,0.00033,0.00161,0.874
0.01745,0.00035,0.00168,0.905
0.01860,0.00037,0.00177,0.968
0.01965,0.00039,0.00182,1.030
0.02086,0.00042,0.00192,1.083
0.02172,0.00043,0.00206,1.144
0.02304,0.00046,0.00217,1.213
0.02435,0.00049,0.00225,1.270
0.02559,0.00051,0.00238,1.324
0.02692,0.00054,0.00247,1.377
0.02823,0.00056,0.00260,1.464
0.02949,0.00059,0.00269,1.530
0.03074,0.00061,0.00285,1.585
0.03223,0.00064,0.00294,1.670
0.03389,0.00068,0.00308,1.755
0.03558,0.00071,0.00319,1.821
0.03714,0.00074,0.00336,1.895
0.03875,0.00078,0.00349,1.977
0.04049,0.00081,0.00363,2.076
0.04211,0.00084,0.00383,2.149
0.04419,0.00088,0.00395,2.214
0.04598,0.00092,0.00413,2.317
0.04792,0.00096,0.00434,2.400
0.05021,0.00100,0.00450,2.511
0.05252,0.00105,0.00474,2.593
0.05472,0.00109,0.00497,2.679
0.05700,0.00114,0.00525,2.756
0.05955,0.00119,0.00549,2.845
0.06236,0.00125,0.00578,2.934
0.06507,0.00130,0.00609,3.014
0.06825,0.00137,0.00646,3.098
0.07165,0.00143,0.00690,3.183
0.07497,0.00150,0.00737,3.229
0.07892,0.00158,0.00785,3.288
0.08306,0.00166,0.00839,3.357
0.08724,0.00174,0.00897,3.403
0.09212,0.00184,0.00972,3.445
0.09694,0.00194,0.01039,3.470
0.10206,0.00204,0.01117,3.524
0.10764,0.00215,0.01203,3.546
0.11364,0.00227,0.01292,3.543
0.11945,0.00239,0.01383,3.563
0.12582,0.00252,0.01482,3.605
0.13215,0.00264,0.01587,3.595
0.13893,0.00278,0.01693,3.594
0.14570,0.00291,0.01806,3.615
0.15286,0.00306,0.01920,3.625
0.16034,0.00321,0.02041,3.632
0.16779,0.00336,0.02161,3.645
0.17577,0.00352,0.02287,3.647
0.18385,0.00368,0.02419,3.629
0.19208,0.00384,0.02548,3.643
0.20036,0.00401,0.02680,3.649
0.20876,0.00418,0.02818,3.658
0.21703,0.00434,0.02951,3.674
0.22575,0.00452,0.03098,3.663
0.23485,0.00470,0.03228,3.676
0.24378,0.00488,0.03375,3.664
0.25314,0.00506,0.03522,3.678
0.26223,0.00524,0.03675,3.687
0.27225,0.00544,0.03819,3.697
0.28195,0.00564,0.03975,3.705
0.29156,0.00583,0.04123,3.706
0.30159,0.00603,0.04276,3.712
0.31152,0.00623,0.04433,3.724
0.32182,0.00644,0.04591,3.727
0.33210,0.00664,0.04749,3.732
0.34228,0.00685,0.04910,3.749
0.35277,0.00706,0.05076,3.747
0.36345,0.00727,0.05243,3.756
0.37418,0.00748,0.05405,3.766
0.38488,0.00770,0.05576,3.774
0.39616,0.00792,0.05748,3.790
0.40678,0.00814,0.05921,3.806
0.41805,0.00836,0.06090,3.807
0.42954,0.00859,0.06264,3.815
0.44111,0.00882,0.06449,3.816
0.45257,0.00905,0.06626,3.829
0.46419,0.00928,0.06810,3.836
0.47605,0.00952,0.06995,3.843
0.48825,0.00977,0.07181,3.845
0.50062,0.01001,0.07369,3.849
0.51315,0.01026,0.07557,3.876
0.52583,0.01052,0.07754,3.886
0.53887,0.01078,0.07950,3.882
0.55167,0.01103,0.08153,3.910
0.56480,0.01130,0.08347,3.916
0.57811,0.01156,0.08561,3.923
