""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","9"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

-0.00001,0.00000,0.00003,-0.005
-0.00008,0.00000,-0.00001,0.001
-0.00008,0.00000,0.00003,0.003
0.00006,0.00000,0.00002,0.001
0.00002,0.00000,0.00006,0.018
0.00047,0.00001,0.00013,0.045
0.00081,0.00002,0.00016,0.079
0.00130,0.00003,0.00021,0.121
0.00182,0.00004,0.00032,0.170
0.00241,0.00005,0.00033,0.227
0.00345,0.00007,0.00045,0.297
0.00479,0.00010,0.00057,0.395
0.00659,0.00013,0.00071,0.526
0.00901,0.00018,0.00090,0.678
0.01156,0.00023,0.00108,0.843
0.01439,0.00029,0.00129,1.028
0.01810,0.00036,0.00151,1.231
0.02213,0.00044,0.00182,1.472
0.02678,0.00054,0.00208,1.734
0.03210,0.00064,0.00237,2.004
0.03773,0.00075,0.00274,2.303
0.04401,0.00088,0.00316,2.596
0.05093,0.00102,0.00366,2.880
0.05961,0.00119,0.00423,3.160
0.07009,0.00140,0.00504,3.370
0.08142,0.00163,0.00605,3.514
0.09504,0.00190,0.00734,3.624
0.11046,0.00221,0.00890,3.679
0.12738,0.00255,0.01068,3.718
0.14614,0.00292,0.01256,3.747
0.16608,0.00332,0.01460,3.766
0.18666,0.00373,0.01674,3.775
0.20863,0.00417,0.01898,3.799
0.23182,0.00464,0.02135,3.828
0.25539,0.00511,0.02363,3.851
0.27925,0.00559,0.02599,3.872
0.30432,0.00609,0.02841,3.886
0.32981,0.00660,0.03083,3.903
0.35570,0.00711,0.03328,3.922
0.38158,0.00763,0.03583,3.949
0.40870,0.00817,0.03835,3.972
0.43596,0.00872,0.04096,3.993
0.46349,0.00927,0.04359,4.018
0.49158,0.00983,0.04627,4.049
0.52011,0.01040,0.04899,4.063
0.54881,0.01098,0.05170,4.092
0.57810,0.01156,0.05445,4.112
0.60763,0.01215,0.05722,4.124
0.63731,0.01275,0.06002,4.154
0.66758,0.01335,0.06288,4.182
0.69840,0.01397,0.06571,4.215
0.72837,0.01457,0.06866,4.235
0.75962,0.01519,0.07160,4.256
0.79165,0.01583,0.07459,4.284
0.82387,0.01648,0.07761,4.307
0.85718,0.01714,0.08070,4.332
0.89021,0.01780,0.08384,4.355
0.92377,0.01848,0.08699,4.384
0.95731,0.01915,0.09016,4.413
0.99073,0.01981,0.09336,4.444
1.02478,0.02050,0.09658,4.458
1.05881,0.02118,0.09985,4.479
1.09344,0.02187,0.10304,4.496
1.12770,0.02255,0.10628,4.525
1.16185,0.02324,0.10948,4.553
1.19651,0.02393,0.11267,4.574
1.23081,0.02462,0.11583,4.600
1.26587,0.02532,0.11904,4.623
1.30073,0.02601,0.12237,4.637
1.33597,0.02672,0.12565,4.664
1.37204,0.02744,0.12894,4.688
1.40808,0.02816,0.13223,4.711
1.44419,0.02888,0.13553,4.732
1.48032,0.02961,0.13883,4.756
1.51696,0.03034,0.14222,4.774
1.55360,0.03107,0.14562,4.792
1.59034,0.03181,0.14901,4.815
1.62756,0.03255,0.15243,4.838
1.66473,0.03329,0.15584,4.860
1.70173,0.03403,0.15932,4.883
1.73857,0.03477,0.16275,4.897
1.77583,0.03552,0.16622,4.916
